id,name,owner,origin,tasks,expanded,medium,compact,input,budget,note
canvas,Lienzo estructural,selection + domain (lectura) · layout (safe-rect),StructuralCanvas (sin cambio de responsabilidad),"MOD-02/03/05/06/07/08/09/11, SEL-01..07, CNV-01..08, RES-03/04/05/11","layer (protagonista, reflow con el dock de detalle)","layer (protagonista, sin reflow; safe-rect se reduce bajo el inset)",layer (protagonista; safe-rect se reduce bajo la hoja),Puntero: hover-preview + clic. Táctil: lupa + picker de precisión (contrato PS). Teclado: tabulación por objetos con anillo propio.,Es el presupuesto. CB-1..CB-6 se miden sobre él.,Nunca se sustituye ni se oculta: ninguna clase permite un estado sin lienzo salvo `fullscreen` explícito y reversible.
topbar,TopBar · identidad + acción global + estado,domain (nombre) · analysis (estado) · layout (composición),"TopBar, reducida a tres naturalezas de las siete actuales","ENT-13/14, SHL-01/02/03/04/21, RES-06 (chip), PER-01/02",band,band,"band (identidad comprimida, acciones a iconos de 44px)",Idéntico en los tres inputs. Ningún control depende de hover.,≈7–9% del viewport; es el único chrome permanente admitido además del rail.,"Sólo puede alojar lo que sea global persistente Y frecuente. Analizar, deshacer/rehacer, estado de análisis, fiabilidad, persistencia, identidad del documento. Todo lo demás sale."
toolrail,ToolRail · creación y navegación,workflow (herramienta activa) · layout (presentación),"ToolRail (registro único de herramientas, se conserva)","MOD-01, MOD-14, MOD-15, SHL-05",dock 164px con etiquetas,"dock 76px sólo iconos (el tier que hoy es código muerto, F-01)",floating — dock horizontal de 5 destinos sobre el lienzo (se conserva tal cual),Táctil: 44px ya cumplidos. Teclado: 11 teclas de herramienta ya implementadas.,14.1% → 5.6% al pasar de 164 a 76px en 1024×768.,Crear y navegar NO pueden ser contextuales a la selección: cuando se crea no hay nada seleccionado. Es el límite duro del principio Shapr3D.
contextual-actions,Acciones contextuales de selección,selection,"NUEVA · hoy repartida entre rail («Editar»), teclado y hoja «Más»","MOD-09, MOD-10, MOD-12, MOD-13, INS-02/03 (atajo), SEL-05",inset — barra anclada al borde del lienzo mientras hay selección,inset,inset — banda sobre el dock de herramientas mientras hay selección,Es la ruta táctil de copiar/pegar/duplicar/repetir/transformar (D-07). Puntero y teclado conservan sus atajos.,"Cuenta como chrome flotante (CB-3). Sólo existe con selección, así que nunca compite en reposo.",Aparece con la selección y desaparece con ella. Es el descargador de ToolRail y TopBar.
detail,Detalle del objeto (propiedades + resultados del objeto),selection (presencia) · domain (escritura) · analysis (lectura de resultados),Inspector pestaña «Inspector» + BulkEditPanel + DatasheetEditorPanel + RES-03/05/10 del objeto,"INS-01/02/03/04, DAT-08, RES-03/05/10 del objeto seleccionado, MOD-04",dock 320px con reflow · presencia contextual a la selección,inset 300px sin reflow · presencia contextual a la selección,"sheet con detents · lado inferior en retrato, lateral en apaisado (CB-6)",Mismo contenido y mismas escrituras en los tres inputs. Los detents ya existen y ya se normalizan por viewport.,"27.6% del viewport en 1024×768 hoy, permanente. Contextual y en Medium: 0% en reposo, 29% con selección y sin reflow.",Una sola superficie con dos cardinalidades (individual / múltiple) y tres presentaciones. Retira la tercera implementación de la ficha (D-12).
analysis-setup,Contexto de análisis,"domain (casos/combinaciones) · analysis (orden, P-Delta)",TopBar zona contexto + «Más» › Análisis + Inspector pestaña «Cargas»,"SHL-07/08/09/10, INS-05",inset invocado desde el botón Analizar,inset invocado,sheet invocada,Idéntico. Ningún control depende de hover ni de `title`.,"Cero en reposo: es invocado, no residente.","Viaja junto a la acción que gobierna. Los casos y combinaciones dejan de vivir dentro del panel de la selección, del que no dependen."
view,"Vista del lienzo · capas, evidencia, snap y filtro de selección","layout (estado de vista del lienzo, fuera de ProjectModel)",Capas del lienzo + Inspector pestaña «Vista» + pestañas N/V/M/deformada de Results,"CNV-03, CNV-04, INS-06, SEL-06, RES-03/04/05 (elección de evidencia)",inset invocado desde el disparador flotante del lienzo,inset invocado,sheet invocada,Los chips informativos del lienzo pasan a accionables (P-11). Táctil y teclado equivalentes.,Cero en reposo.,"ÚNICO dueño de la visibilidad del lienzo (D-10). Absorbe la elección de evidencia de Results, que es una capa, no una pestaña de resultados."
dense,"Datos densos · datasheet, reacciones, influencia, aprender, procedencia",domain (proyección) · analysis (tablas de resultado) · selection (sincronía fila↔objeto),DatasheetPanel + RES-02/07/08/10 del panel de Results,"DAT-01..10, RES-02/07/08/10, CNV-10",drawer inferior · dock fijable sólo si CB-1 y CB-4 lo permiten (≈≥1700px),drawer con estado `peek` al localizar,fullscreen con estado `peek` al localizar,Táctil: multiselección por filas y rangos ya existe. Pegado de bloque necesita afordancia propia (D-07).,"Cero en reposo. El dock fijable es capacidad, no defecto.",Localizar nunca destruye la superficie: la degrada a `peek` y la recuerda. Modo «sólo la selección» como faceta.
doctor,Model Doctor · diagnóstico preventivo,domain (lectura) · workflow (reparación preparada),ModelDoctor (Drawer lateral / inferior),DOC-01..07,drawer lateral,drawer lateral con `peek` al localizar,sheet/fullscreen con `peek` al localizar,"El lanzador debe llevar recuento de severidad y existir en las tres clases (hoy desaparece bajo 1024px, F-06).",Cero en reposo.,La reparación preparada es un draft registrado: sobrevive a las transiciones y nunca se aplica ni se cancela sola.
palette,Command Palette,workflow,CommandPalette (lazy),"SHL-05, SHL-06, MOD-13, comandos de vista y exportación",overlay modal centrado,overlay modal centrado,sheet a pantalla casi completa (el teclado virtual manda),Puntero/teclado: `Ctrl/⌘+K`. Táctil: entrada propia; no puede ser la única ruta de nada.,Cero en reposo.,"Es aceleración, nunca la única puerta. Si un comando sólo vive aquí, incumple el contrato de paridad."
preferences,"Preferencias · unidades, idioma, tema, modo de cálculo","domain (unidades, idioma, modo) · layout (tema)",Menú «Más» › Preferencias + Welcome + Paleta,"SHL-08, SHL-11, SHL-12, SHL-13",drawer invocado,drawer invocado,sheet invocada,Idéntico.,Cero.,Una sola puerta por preferencia. El modo de cálculo pierde tres de sus cuatro puertas actuales.
output,"Salida · exportación, imagen, impresión, memoria",domain (lectura) · analysis (lectura),Menú de exportación + «Más» › Exportar + 4 comandos de paleta,"SHL-22, CNV-09, CNV-10",drawer invocado desde una única entrada,drawer invocado,sheet invocada,Idéntico.,Cero.,Las 21 afordancias actuales colapsan a una entrada + la paleta.
recovery,Recuperación y conflicto de revisión,domain (persistencia),NUEVA en la mesa · hoy sólo existe en el Project Hub de la Welcome,"PER-03, ENT-09, ENT-06 (abrir otro proyecto)",drawer invocado desde el chip de persistencia,drawer invocado,sheet invocada,"Idéntico. El chip de persistencia es un botón real, no un adorno.",Cero.,Cierra el hueco de acceso más grave de CRI-8 §9.2. No cambia la política local-first ni la persistencia.
transient,"Superficies efímeras · entrada rápida, picker, previews, marco",workflow,"quickEntry, overlapPicker, previews de generación/edición estructural","MOD-10/11/14, SEL-02, DAT-07, DOC-05",overlay sobre el lienzo,overlay,overlay,El picker de solapados se enruta a táctil (D-06). La entrada rápida ya acepta coma decimal.,Chrome flotante mientras dura (CB-3).,Todo lo que aquí sea un borrador se registra en DraftLifecycle y sobrevive a las transiciones.
status,Estado transitorio · toasts y anuncios,workflow,ToastNotification + 66 regiones aria-live existentes,"SHL-23, STA-01..06",overlay,overlay,"overlay (por encima del dock, respetando safe-area)",Idéntico; ya está anunciado a lectores de pantalla.,Chrome flotante efímero.,Es también el canal por el que el Broker anuncia una degradación de composición: nada se pierde en silencio.
welcome,Entrada · Welcome y Project Hub,domain,WelcomeScreen + Phase2ProjectHub,ENT-01..12,"fullscreen (pantalla propia, fuera del shell)",fullscreen,fullscreen,Idéntico.,No compite: no hay lienzo.,Se conserva como pantalla. Lo que cambia es que dos de sus funciones (recuperación y abrir otro proyecto) ganan además una ruta desde la mesa.
classroom,Guía de Aula,domain (modo) · analysis (progreso),ClassroomGuide,AUL-01..03,inset sobre el borde superior del lienzo,inset,inset colapsable a una línea,Idéntico.,Cuenta como chrome flotante en Compact (CB-3).,Aula NO se rediseña en CRI-9. Sólo se declara su presentación para que no quede fuera del contrato de composición.
space3d,Space 3D (experimental),"dominio propio, fuera de este contrato","Space3DWorkspace (dominio, store y motor separados)","S3D-01, S3D-02",fullscreen,fullscreen,fullscreen,Fuera del contrato de paridad 2D.,No compite: sustituye la mesa.,Congelado respecto a este sistema salvo dos contratos neutrales que hoy incumple: resolución de tema única y mínimos de objetivo (D-15).
