category,item,owner,writers,persisted,onTransition,today,change,evidence
A · Dominio / persistido,"Geometría, apoyos, cargas, materiales, secciones, casos y combinaciones",ProjectModelContext (único),"`executeProjectCommand`, `executePrepared*`, `updateProject`, transacción de arrastre",Sí — localStorage (sesión viva) + IndexedDB (biblioteca),INMUTABLE. Ninguna transición de layout puede tocarlo.,"Correcto ya. Un solo ProjectModel; el datasheet es proyección, no modelo paralelo.","Ninguno, salvo la salida de `settings.show*` que decide D-10.",
A · Dominio / persistido,"Unidades, idioma, modo de cálculo, orden de análisis, configuración P-Delta",ProjectModelContext,`updateProjectView` (sin historial) y `updateProjectAnalysisSettings` (invalida análisis),"Sí, dentro del proyecto",Inmutable.,Correcto. La distinción entre ajuste visual y ajuste que invalida el análisis ya está tipada.,Ninguno. Sólo cambia DÓNDE se editan (superficies `preferences` y `analysis-setup`).,
A · Dominio / persistido,"`settings.showGrid`, `showLoads`, `showResultValues`, `showResultOverlay`, …",HOY: ProjectModelContext. OBJETIVO: estado de vista del lienzo (categoría D).,"HOY: Inspector › Vista. OBJETIVO: superficie `view`, única.",Hoy dentro del proyecto; objetivo: preferencia de workspace por proyecto,Inmutable en ambos casos.,Es estado de PRESENTACIÓN dentro del modelo persistido: abrir el proyecto de otra persona cambia tus preferencias de vista.,D-10. Migración de esquema; es el mayor riesgo adyacente a schema de CRI-9.,
A · Dominio / persistido,Historial de deshacer/rehacer,ProjectModelContext (50 entradas acotadas),Sólo las rutas reversibles declaradas,No,Inmutable.,"Correcto. Una operación = una entrada, incluidas las masivas y los arrastres.",Ninguno. Sólo se le añaden los atajos de teclado que ya se anuncian (G-01).,
B · Análisis,"Resultado, éxito/fallo, fiabilidad, check gobernante, obsolescencia",ProjectAnalysisContext,Sólo el worker de análisis y `invalidateAnalysis`,No (se restaura desde el proyecto sólo en `replaceProject`),Inmutable. Una transición nunca invalida ni relanza el análisis.,"La obsolescencia NO es una bandera sobre un resultado vivo: `invalidateAnalysis` pone el análisis a `null`, y `stale` se deriva de `analysis === null && hadAnalysis`. Por eso es IMPOSIBLE pintar evidencia caducada sobre el modelo: todos los overlays exigen `analysis?.success`. Resuelve U-06 y es una propiedad fail-closed estructural que hay que conservar.",Ninguno.,"ProjectContext.tsx:113-125; analysisStatusModel.ts; CanvasResultLayer.tsx:177,223,278,378"
C · Selección / contexto,Selección actual (nodo / miembro / carga / multi / null),WorkspaceUIContext (único),"Lienzo, datasheet, paleta, Model Doctor, tarjetas de resultado — todos por el mismo `setSelection`",No,INMUTABLE por T-INV-1. Ninguna transición de layout la toca.,"Es la mayor fortaleza del producto: una sola selección compartida por cinco superficies, sin sincronización explícita.",Ninguno en el estado. Cambia su CONSECUENCIA: pasa a gobernar la presencia del detalle y de las acciones contextuales.,
C · Selección / contexto,Objeto enfocado (`focus-object`),"Bus `workspaceCommands`, con carga tipada `FocusableSelection`","Cuatro emisores, un consumidor (el lienzo)",No,No se reemite en una transición.,Tipado tal que es imposible pedir un foco inválido. Se conserva íntegro.,"Se le añade un token de ORIGEN opcional, para que la navegación profunda pueda volver (§10). Es lo único nuevo que necesita el bus.",
C · Selección / contexto,Herramienta activa y cursor de resultado,WorkspaceUIContext,"Rail, dock, hoja, paleta, teclado — todos sobre el mismo registro de herramientas",No,Conservados.,Registro único de herramientas que alimenta cuatro superficies. Se conserva.,Ninguno.,
D · Presentación / layout,"Entorno (clase de espacio, viewport visual, safe-area, orientación, capacidad de input, movimiento reducido)",NUEVO · Sensor de entorno — el ÚNICO módulo que puede leer `matchMedia`,Nadie: es derivado del navegador,No,Es el disparador de la transición.,"Repartido entre CSS (31 umbrales), ResultsPanel, ModelDoctor y WorkspaceShell, cada uno con su propio umbral.",Se centraliza. Es el cambio estructural que hace imposible repetir F-01.,
D · Presentación / layout,Plan de composición (presentación de cada superficie),"NUEVO · Resolutor — función PURA `(entorno, intenciones, hechos de contexto) → plan`",Nadie: es una función,No — se recalcula siempre,Se recalcula con histéresis y sólo sobre tamaño estable.,No existe: la composición emerge de la cascada CSS.,"Nuevo. Al ser puro, se prueba sin DOM: es la parte más testeable de toda la propuesta.",
D · Presentación / layout,"Intenciones del usuario (`dockIntent` por dock, ancho preferido, detent preferido, `focusCanvas`)","NUEVO · LayoutIntent, evolución de `useWorkspaceLayoutPreferences`","El usuario, explícitamente","Sí — localStorage, por dispositivo/perfil, NUNCA dentro del proyecto","Se conservan tal cual. El resolutor puede DEGRADARLAS, jamás reescribirlas.","Existen y funcionan (clamp 280-480, detents normalizados, persistencia tolerante a fallos). Lo que falla es el defecto.",Tres conmutadores solapados → un `dockIntent` por dock + un `focusCanvas`. El ancho deja de escribirse como inline incondicional.,
D · Presentación / layout,"Superficie activa, pila de retorno y propiedad del foco",NUEVO · Broker de superficies (con estado),Invocaciones de superficie y transiciones,No,"Aplica T-INV-2, T-INV-3 y T-INV-8: migrar, no cerrar; foco sigue a su superficie; borrador sucio suspende en vez de destruir.","Repartido en `WorkspaceShell` con cuatro banderas booleanas y tres refs de retorno de foco, todas correctas pero sin contrato común.","Se formaliza lo que ya se hace bien y se le añade la responsabilidad de la migración, que hoy nadie tiene.",
D · Presentación / layout,"Estado de vista del lienzo (capas, presets, evidencia elegida, snap, filtro de selección)","NUEVO tras D-10 · dueño único, fuera de ProjectModel",Sólo la superficie `view`,Sí — ya se persiste hoy en localStorage para las capas,Conservado íntegro. Una transición nunca cambia qué se ve.,"Dos dueños que se componen con AND, uno de ellos dentro del modelo persistido.",D-10.,
E · Efímero / workflow,"Borradores sin aplicar (datasheet, bulk edit, edición estructural, generación, reparación)",NUEVO · registro `DraftLifecycle`; el estado interno sigue en cada superficie,Cada superficie sobre su propio borrador,No,SOBREVIVEN SIEMPRE (T-INV-8). Sólo un acto explícito los aplica o los cancela.,Cinco implementaciones correctas y ninguna compartida; nadie sabe globalmente si hay trabajo sin aplicar.,"Se registra el ciclo de vida, no la implementación (D-13). Es lo que hace demostrable la matriz de transiciones.",
E · Efímero / workflow,"Picker de candidatos, entrada rápida, marco de selección, corte no fijado, receta de repetición",Estado local del lienzo,El propio lienzo,No,Se cancelan sólo si el gesto que los sostiene se interrumpe; nunca por un cambio de clase.,"`Escape` los limpia los siete de una vez, que es correcto como cancelación total. D-06 le añade un alcance acotado cuando el picker está abierto.",Acotar el alcance de Escape cuando hay picker; nada más.,
E · Efímero / workflow,"Previews de generación, edición estructural y reparación (objetos `Prepared*`)",Superficie que los preparó + `DraftLifecycle`,`prepare*` / `executePrepared*`,No,Sobreviven. Y su propia validación de snapshot ya los invalida si el modelo se movió debajo — esa garantía se conserva intacta.,Ya es lo más sólido del producto en esta categoría.,Ninguno en las garantías. Sólo se declaran ante el registro.,
E · Efímero / workflow,Toasts y anuncios,Canal de estado,"Cualquier superficie, por `show-toast`",No,Sobreviven a la transición; se reubican respetando la safe-area.,"Correcto, con 66 regiones aria-live ya en el producto.",Pasa a ser también el canal por el que el Broker anuncia una degradación de composición.,
