id,question,status,effect,needed,evidence
U-01,"No hay telemetría: 86 de 122 frecuencias son inferencia, no medida.",ABIERTO,"Ninguna decisión de este informe se apoya en frecuencia. La presencia se decide por DUEÑO y por PRESUPUESTO, no por uso estimado. Criticidad y frecuencia son dimensiones distintas y aquí manda la criticidad.","Telemetría local anónima de invocación por superficie, si el propietario la autoriza. Hasta entonces, ninguna cifra de frecuencia puede justificar esconder nada.",
U-02,¿Cuánto tiempo de sesión transcurre sin selección?,NO BLOQUEANTE,"Se planteaba como condición para D-02 y ya no lo es: un dock contextual es estrictamente mejor que un panel vacío permanente en todos los viewports medidos, y cuando hay selección el dock está. U-02 afinaría el defecto de `dockIntent`, no la decisión.",Misma telemetría que U-01.,
U-03,Ruta táctil de Repeat (MOD-12).,RESUELTO — no existe,Confirmado: sólo se activa con la tecla `R` sobre una selección repetible; no está en la paleta ni en «Más». D-07 le da casa en `contextual-actions`.,—,StructuralCanvas.tsx:1642-1734; CommandPalette.tsx (sin comando de repetición).
U-04,¿El tap táctil acumula o reemplaza en multiselección?,RESUELTO — reemplaza,"Un tap táctil sobre geometría entra en `startPending`; al confirmarse ejecuta `selectStructuralTarget`, que REEMPLAZA. La acumulación sólo existe con `shiftKey` (puntero) o con marco aditivo — y el marco no tiene ruta táctil. Es decir: hoy NO hay multiselección táctil sobre el lienzo; la única ruta táctil a multiselección es el datasheet. D-07 lo cierra.",—,"StructuralCanvas.tsx:954-978, :1238-1244, :1400-1412 (`finishSelectionBox` con `box.additive`)."
U-05,¿Qué gana si las capas del lienzo y los `show*` del Inspector se contradicen?,RESUELTO — ninguno: se componen con AND,"No hay precedencia porque no hay competencia: la condición de dibujo es una conjunción. `layers.results && layers.labels && resultsAllowed && project.settings.showResultValues && analysis?.success`. Cualquiera de los dos dueños puede apagar; ninguno puede encender solo. Eso es peor que una precedencia mal elegida, y es lo que D-10 corrige.",—,"StructuralCanvas.tsx:1962, :2403; CanvasResultLayer.tsx:103, :223, :417-427."
U-06,Comportamiento del overlay de resultados cuando el análisis está obsoleto.,RESUELTO — no puede haber evidencia caducada,"La obsolescencia no es una bandera sobre un resultado vivo: `invalidateAnalysis` pone el análisis a `null`, y `stale` se deriva de `analysis === null && hadAnalysis`. Todos los overlays exigen `analysis?.success`, así que desaparecen en el mismo instante. Es una propiedad fail-closed estructural y hay que conservarla explícitamente en cualquier rediseño.",—,"ProjectContext.tsx:113-125; analysisStatusModel.ts; CanvasResultLayer.tsx:177,223,278,378."
U-07,Rendimiento del datasheet y de la paleta con modelos grandes (el generador admite hasta 2 000 entidades).,ABIERTO,"Condiciona si «lista de objetos» escala como ruta de precisión y si el dock de datos densos es viable donde CB lo permite. CRI-9 no apoya ninguna decisión en que escale: la ruta de precisión canónica es el picker sobre el lienzo, no la lista.","Medición con un modelo generado de 2 000 entidades: tiempo hasta primera fila interactiva, coste de un cambio de faceta y de una selección de rango. Reproducible con el generador ya existente.",
U-08,Interactividad real del minimapa por teclado y por tap.,"RESUELTO — es un botón, con una sola acción",El minimapa ES un `<button>` con `aria-label` y `onClick={onFit}`: alcanzable por teclado y por tap. Pero su única acción es encuadrar; no permite desplazarse pulsando una zona. A cambio ocupa 144px del borde derecho y descuadra el margen de encuadre (F-07). CRI-9 lo mantiene como chrome flotante DEGRADABLE: es el primero que se retira cuando CB-3 se incumple.,—,CanvasMiniMap.tsx:70-95; canvasChromeGeometry.ts:27-30; CRI-7 F-07.
U-09,¿Qué se conserva al entrar y salir de Space 3D?,RESUELTO,"El dominio 2D sobrevive: `ProjectProvider` está por encima del cambio de pantalla. La presentación 2D NO sobrevive: `WorkspaceShell` se desmonta entero (superficie abierta, detents, foco, cámara). Las capas del lienzo sí, porque ya se persisten. Y 3D nunca escribe en el proyecto 2D: `sourceProject` es de sólo lectura y la divergencia se DETECTA (`space3dMatchesPlanarSource`), no se propaga. Consecuencia contractual: navegar a 3D con borradores sucios exige confirmación (TR-10).",—,App.tsx:53-80; Space3DWorkspace.tsx:333-334; editorLayers.ts:14.
U-10,"¿Pueden divergir localStorage e IndexedDB, y cuál manda en la recuperación?",RESUELTO,"Sí pueden divergir, y el código ya declara qué pasa. localStorage es la autoridad de la SESIÓN VIVA: es de donde arranca el proyecto. IndexedDB es la autoridad de la BIBLIOTECA. Cuando IndexedDB ya contiene otra revisión, la copia compatible se guarda como `recovery` EN LA MISMA TRANSACCIÓN, antes de lanzar el conflicto, y se bloquean las escrituras a IndexedDB para ese id hasta que se abra una versión desde el hub. No hay pérdida silenciosa; lo que falta es la puerta desde la mesa, que abre D-08.",—,"ProjectContext.tsx:38, :87-111, :161-200; projectRepository.ts:190-208, :277-297."
U-11,Disponibilidad de `navigator.clipboard.readText()` en la matriz de navegadores del producto.,ABIERTO — nuevo en CRI-9,"Condiciona la ruta táctil de pegado de bloque en el datasheet (D-07, DAT-06). Si no está disponible, hace falta una alternativa declarada (pegar en un campo de texto intermedio); lo que no es aceptable es que la función simplemente no exista en táctil sin decirlo.","Comprobación en el gate de WebKit ya existente (`npm run qa:webkit`) más Chromium y Firefox, con y sin contexto seguro.",
U-12,Coste real de la migración de `settings.show*` fuera de `ProjectSettings`.,ABIERTO — nuevo en CRI-9,"Es el mayor riesgo adyacente a schema de todo CRI-9 (D-10). Toca `types.ts`, `migrate.ts` y el baseline protegido.","Inventario de lecturas de `settings.show*`, plan de migración con versión de esquema, y una pasada de `npm run verify:protected` sobre el resultado. Repliegue declarado en D-10 si el coste no compensa.",
U-13,Umbral de histéresis y ventana de estabilidad del resolutor.,ABIERTO — nuevo en CRI-9,T-INV-5 exige histéresis pero no fija su valor. Demasiado poca y el layout oscila en un arrastre de split-screen; demasiada y la composición se siente pegajosa.,"Prototipo de CRI-11 con arrastre continuo entre 900 y 1300px midiendo recomposiciones por segundo. Es una medición, no una opinión.",
U-14,"¿Debe la arquitectura de composición preservar una vía de compatibilidad para que Aula, si su dirección de producto lo exige, recupere una presentación más inmediata de resultados?",ABIERTO — unknown de compatibilidad; validación específica de Aula diferida,"D-03 retira la banda de resultados residente en las tres clases, incluida la que hoy usa Aula. Esto NO afirma que Aula necesite esa banda ni que el bucle Resolver→leer se rompa sin ella: Aula está fuera de alcance de CRI-9 y sigue estacionada, sin dirección de producto reabierta. Lo único que la arquitectura debe garantizar mientras tanto es COMPATIBILIDAD: que, si al reabrirse esa dirección se determina que Aula necesita una superficie de resultados más inmediata, el repliegue conceptual ya declarado en D-03 — una tarjeta de resultado dentro del `inset` de la guía, sin reintroducir el panel monolítico ni crear un segundo sistema de composición para Aula — sea alcanzable dentro del mismo catálogo de superficies y sin reabrir esta arquitectura.","La validación específica — si Aula realmente lo necesita, en qué grado, y con qué medición — NO es una tarea de CRI-11 ni de esta fase: queda diferida hasta que se reabra la dirección de producto de Aula. Hasta entonces esto se sostiene como restricción de compatibilidad sobre la arquitectura, no como un riesgo con prototipo asignado.",
U-15,Contraste medido por píxel y prueba con lectores de pantalla reales.,"ABIERTO — heredado de CRI-7, no cubierto aquí",D-14 fija el contrato de exposición de causa; no verifica que los tonos actuales lo cumplan.,Medición por píxel en ambos temas y una pasada con lector de pantalla real. Pertenece a CRI-10 y a la fase de implementación.,
