id,dominio,tarea,claseUX,clasePrimaria,hoy,superficieCRI9,origenDeLaUbicacion,motivo,expanded,medium,compact,rutaPuntero,rutaTactil,precision,criticidad,decisionCRI8
ENT-01,Entrada,Elegir por dónde empezar al abrir la app,1 Global persistente (pantalla propia),1,"Pantalla completa propia, fuera del shell del workspace.",welcome,decisión CRI-9,Pantalla de entrada; fuera del shell de la mesa.,"fullscreen (pantalla propia, fuera del shell)",fullscreen,fullscreen,Tab entre tarjetas; Enter activa.,Tap directo sobre tarjeta.,No.,esencial,¿Welcome debe seguir siendo una pantalla o pasar a ser un estado del shell? Hoy es una pantalla con su propio breakpoint (767).
ENT-02,Entrada,Continuar el proyecto en el que estaba,1 Global persistente,1,Botón principal de la Welcome.,welcome,decisión CRI-9,Pantalla de entrada.,"fullscreen (pantalla propia, fuera del shell)",fullscreen,fullscreen,Enter sobre el botón principal.,Tap.,No.,esencial,"Coexisten dos almacenes (localStorage para el proyecto vivo, IndexedDB para el hub). CRI-9 debe decidir cuál es la fuente de ""continuar""."
ENT-03,Entrada,Crear un proyecto en blanco,1 Global persistente + 2 Contextual a proyecto,1,Welcome + menú desplegable del nombre de proyecto (TopBar).,welcome,decisión CRI-9,Pantalla de entrada + menú de documento en TopBar.,"fullscreen (pantalla propia, fuera del shell)",fullscreen,fullscreen,Click en la flecha; el menú tiene navegación por flechas/Home/End (`onMenuKeyDown`).,Tap en la flecha de 33×40 — por debajo del mínimo táctil de 44 declarado por el proyecto.,No.,esencial,¿Crear proyecto debe pedir confirmación cuando hay trabajo sin exportar? Hoy sólo lo protege el undo.
ENT-04,Entrada,Abrir un ejemplo / plantilla,1 Global persistente + 9 Fullscreen (Welcome),1,Tarjetas de la Welcome + menú de proyecto del TopBar.,welcome,decisión CRI-9,Pantalla de entrada.,"fullscreen (pantalla propia, fuera del shell)",fullscreen,fullscreen,Tab + Enter.,Tap.,No.,esencial,"""Abrir un ejemplo y convertirlo en proyecto propio"" no tiene hoy paso de apropiación: se abre como proyecto sin renombrar."
ENT-05,Entrada,Filtrar plantillas por tipo,9 Fullscreen (auxiliar de la lista),9,Chips en la Welcome.,welcome,decisión CRI-9,Auxiliar de la lista de plantillas.,"fullscreen (pantalla propia, fuera del shell)",fullscreen,fullscreen,Tab + Enter.,Tap.,No.,secundaria,"Con 6 ejemplos, el filtro puede no justificarse; es decisión de CRI-9, no de este mapa."
ENT-06,Entrada,Ver y abrir proyectos guardados (Project Hub),1 Global persistente + 9 Fullscreen / datos densos,1,"Sólo en la Welcome, tras `Phase2ProjectHub`.",recovery,decisión CRI-9,"D-08: abrir otro proyecto gana ruta desde la mesa, además de la Welcome. Cierra el hueco 2 de CRI-8 §9.2.",drawer invocado desde el chip de persistencia,drawer invocado,sheet invocada,Tab por filas y acciones.,Tap.,No.,esencial,HUECO DE ACCESO: desde la mesa no hay ruta al Hub. Cambiar de proyecto obliga a volver a Inicio.
ENT-07,Entrada,Renombrar un proyecto guardado,8 Configuración / 9 Fullscreen,8,Sólo en el Hub.,welcome,decisión CRI-9,Gestión de biblioteca; no compite con el lienzo.,"fullscreen (pantalla propia, fuera del shell)",fullscreen,fullscreen,Enter confirma (no verificado si Escape cancela).,Teclado en pantalla.,No.,secundaria,—
ENT-08,Entrada,Duplicar un proyecto guardado,8 Configuración / 9 Fullscreen,8,Sólo en el Hub.,welcome,decisión CRI-9,Gestión de biblioteca.,"fullscreen (pantalla propia, fuera del shell)",fullscreen,fullscreen,Tab + Enter.,Tap.,No.,secundaria,Duplicar es la única forma de versionar; ¿debe existir también desde la mesa?
ENT-09,Entrada,Restaurar una recuperación tras conflicto,2 Contextual a proyecto + 6 Workflow temporal,2,"Sólo en el Project Hub, dentro de la Welcome.",recovery,decisión CRI-9,D-08: la restauración deja de vivir sólo en el hub.,drawer invocado desde el chip de persistencia,drawer invocado,sheet invocada,Tab + Enter.,Tap.,No.,esencial,HUECO DE ACCESO CRÍTICO: el conflicto se anuncia en la mesa y se resuelve en otra pantalla. CRI-9 debe cerrar ese salto.
ENT-10,Entrada,Importar JSON / bundle / PDF (Import Center),6 Workflow temporal,6,Menú de proyecto del TopBar y Welcome.,transient,decisión CRI-9,Import Center es workflow temporal; se invoca desde el menú de documento.,overlay sobre el lienzo,overlay,overlay,Tab; foco dirigido por etapa (`data-import-stage-focus`).,Selector de archivo nativo.,No.,esencial,"Es el modelo de ""workflow temporal"" que el resto del producto no tiene. ¿Se generaliza el patrón?"
ENT-11,Entrada,Importar geometría desde DXF,6 Workflow temporal,6,SÓLO en la Welcome.,transient,decisión CRI-9,D-07/D-08: importar DXF deja de exigir volver a Inicio. Cierra el hueco 3 de CRI-8 §9.2.,overlay sobre el lienzo,overlay,overlay,Tab.,Selector de archivo nativo.,No.,contextual,HUECO DE ACCESO: importar DXF sobre un modelo ya abierto exige volver a Inicio.
ENT-12,Entrada,Crear un ejercicio de Aula,6 Workflow temporal,6,Botón «Nuevo ejercicio» de la Welcome.,welcome,decisión CRI-9,Aula no se rediseña aquí; su puerta sigue en la Welcome.,"fullscreen (pantalla propia, fuera del shell)",fullscreen,fullscreen,Roving por flechas sobre plantillas; Escape cierra.,Tap + teclado en pantalla.,No.,contextual,Fuera de alcance: CRI-8 no diseña Aula vNext. Sólo se registra que la superficie existe.
ENT-13,Entrada,Renombrar el proyecto abierto,2 Contextual a proyecto,2,"TopBar, zona documento.",topbar,decisión CRI-9,Identidad del documento: una de las tres naturalezas que la TopBar conserva.,band,band,"band (identidad comprimida, acciones a iconos de 44px)","Enter confirma, Escape revierte.",Tap + teclado en pantalla.,No.,esencial,"¿La identidad del documento merece anchura permanente en Compact, o basta con verla y editarla bajo disclosure?"
ENT-14,Entrada,Volver a Inicio desde la mesa,1 Global persistente,1,Marca del TopBar.,topbar,decisión CRI-9,Identidad del documento.,band,band,"band (identidad comprimida, acciones a iconos de 44px)",Tab + Enter.,Tap.,No.,esencial,¿Sale sin avisar aunque haya trabajo sin guardar? Hoy sí; el autosave lo justifica pero no se comunica.
ENT-15,Entrada,Abrir Space 3D,9 Fullscreen (dominio separado),9,Botón de icono del TopBar + tarjeta de la Welcome + menú «Más» en Compact.,space3d,decisión CRI-9,D-15: dominio separado.,fullscreen,fullscreen,fullscreen,Tab + Enter.,Tap.,No.,secundaria,"¿Un dominio experimental merece presencia permanente en el TopBar de Expanded? Es la pregunta, no la respuesta."
SHL-01,Shell,Ejecutar el análisis,1 Global persistente,1,"TopBar, extremo derecho, siempre visible.",topbar,decisión CRI-9,Analizar es la acción global por excelencia.,band,band,"band (identidad comprimida, acciones a iconos de 44px)",Tab + Enter. NO tiene atajo de teclado propio.,Tap.,No.,esencial,Es la única acción que justifica sin discusión presencia permanente. ¿Merece atajo de teclado?
SHL-02,Shell,Saber en qué estado está el análisis,2 Contextual a proyecto/análisis,2,TopBar (chip) + cabecera del panel de Results (texto de estado).,topbar,decisión CRI-9,D-03: el estado del análisis sube a chip permanente.,band,band,"band (identidad comprimida, acciones a iconos de 44px)",Tab hasta el chip; enlaza a Model Doctor.,Tap.,No.,esencial,Es candidato claro a «global persistente» aunque el resto de Results no lo sea. CRI-9 debe poder separarlos.
SHL-03,Shell,Deshacer,1 Global persistente,1,"TopBar (icono), menú «Más» (primer bloque), Command Palette.",topbar,decisión CRI-9,D-09: deshacer nunca vive en un desbordamiento. + G-01 (atajo).,band,band,"band (identidad comprimida, acciones a iconos de 44px)",HUECO: la paleta anuncia `Ctrl Z` como atajo pero NINGÚN manejador lo enlaza. Verificado por búsqueda en todo `src/`: no existe handler de tecla Z fuera de un campo de coordenada de Space3D.,Tap en TopBar o en «Más».,No.,esencial,"DECISIÓN: implementar el atajo que la interfaz ya promete, o retirar la promesa. Hoy la paleta miente."
SHL-04,Shell,Rehacer,1 Global persistente,1,Idéntico a SHL-03.,topbar,decisión CRI-9,D-09 + G-01.,band,band,"band (identidad comprimida, acciones a iconos de 44px)",HUECO idéntico: la paleta anuncia `Ctrl Y` sin manejador.,Tap.,No.,esencial,Mismo que SHL-03.
SHL-05,Shell,Abrir la paleta de comandos,7 Power-user / Command Palette,7,ToolRail + atajo + hoja «Más» móvil.,palette,decisión CRI-9,Aceleración; su lanzador se conserva en el rail.,overlay modal centrado,overlay modal centrado,sheet a pantalla casi completa (el teclado virtual manda),Ctrl/⌘K abre; flechas/Home/End navegan; Enter ejecuta; Escape cierra con retorno de foco.,"Tap en la hoja «Más» → paleta. Funciona, pero teclear es el punto de la paleta.",No.,contextual,"OPORTUNIDAD: la paleta ya conoce la selección pero no la usa para ordenar ni filtrar. Es el sitio natural del patrón ""acciones válidas para lo seleccionado""."
SHL-06,Shell,Navegar a un nudo o barra por identificador,7 Power-user,7,Sólo en la paleta.,palette,decisión CRI-9,Navegación por identificador: ruta de precisión no espacial.,overlay modal centrado,overlay modal centrado,sheet a pantalla casi completa (el teclado virtual manda),Escribir el ID + Enter.,Posible pero incómodo.,Resuelve el problema de precisión SIN tocar el lienzo: es la ruta no espacial a un objeto pequeño.,contextual,Con miles de entidades la lista es lineal: ¿escala? No se midió.
SHL-07,Shell,Elegir caso de carga o combinación a analizar,2 Contextual a proyecto/análisis,2,TopBar zona contexto (oculta en Compact) + «Más» + Inspector › Cargas.,analysis-setup,decisión CRI-9,"D-09: la combinación viaja junto a los resultados que gobierna, no fija en la TopBar.",inset invocado desde el botón Analizar,inset invocado,sheet invocada,Select nativo.,Select nativo.,No.,esencial,"Es el control que MÁS se parece a ""contextual a análisis"" y hoy vive fijo en el chrome global. Candidato número uno a reubicarse junto a los resultados."
SHL-08,Shell,Cambiar el modo de cálculo (Aula / Completo),8 Configuración / preferencias,8,"CUATRO sitios: TopBar zona contexto, «Más», Inspector › Vista, y el propio guía.",preferences,decisión CRI-9,D-09: preferencia de sesión; pierde tres de sus cuatro puertas.,drawer invocado,drawer invocado,sheet invocada,Select / segmented.,Igual.,No.,configuración,"DECISIÓN: es una preferencia de sesión, no una acción de trabajo. Cuatro puertas permanentes para ella es el ejemplo más claro de acumulación del producto."
SHL-09,Shell,Elegir el orden de análisis (1.º orden / P-Delta),2 Contextual a proyecto/análisis,2,TopBar zona contexto + «Más».,analysis-setup,decisión CRI-9,D-09: cambia la física del resultado; baja frecuencia no puede significar escondido.,inset invocado desde el botón Analizar,inset invocado,sheet invocada,Select.,Select.,No.,esencial,"Baja frecuencia, alta criticidad: es el caso donde ""poco usado"" no puede significar ""escondido""."
SHL-10,Shell,Ajustar los parámetros avanzados de P-Delta,8 Configuración + 2 Contextual a análisis,8,"SÓLO dentro del popover «Más», bajo un `<details>` colapsado, dentro de una sección.",analysis-setup,decisión CRI-9,D-09: sale de la triple disclosure del cajón.,inset invocado desde el botón Analizar,inset invocado,sheet invocada,"Tab hasta «Más», abrir, expandir `details`, tabular 6 campos.","Igual, con 6 campos numéricos dentro de un popover.",Campos numéricos finos dentro de un popover: caso claro de precisión insuficiente.,contextual,FUNCIÓN DEMASIADO ESCONDIDA nº 1. La configuración de convergencia de un análisis no lineal no debería vivir bajo un `details` dentro de un popover.
