id,from,to,trigger,selection,surface,draft,focus,scroll,overlays,canvas,escape,evidence
TR-01,Expanded (X2),Medium (M1),Ventana más estrecha o más baja; CB-1 deja de cumplirse con dos docks.,Intacta.,"ToolRail dock 164 → dock 76. Detalle dock (reflow) → inset (sin reflow): el lienzo NO se recompone, se descubre.",Sobrevive. El detalle mantiene su borrador y su desplazamiento.,"Permanece en el mismo control; si el control desaparece por compactación del rail, va a su equivalente icónico.",Conservado por ancla.,Sin cambio. Las capas y la evidencia elegida no se tocan.,Cámara intacta; safe-rect se recalcula bajo el inset.,Sin efecto: no hay nada que cancelar.,
TR-02,Medium (M1),Compact (K0),CB-1 deja de cumplirse con un dock lateral.,Intacta.,"ToolRail dock → dock flotante. Detalle inset → hoja con detents, por el borde que CB-6 permita.",Sobrevive; el detalle abre en el detent que garantice ver el campo con foco.,"Sigue al detalle dentro de la hoja. Si el detalle no estaba presente, no se abre nada.",Conservado por ancla.,"Sin cambio. Si dos capas contextuales estaban activas, CB-6 obliga a suspender la de menor prioridad y a anunciarlo.",Cámara intacta.,Cierra la hoja y devuelve el foco al invocador.,
TR-03,Compact (K0),Medium (M1),Más ancho o más alto disponible.,Intacta.,Hoja → inset conservando su contenido y su desplazamiento. Dock flotante → dock de iconos.,Sobrevive. Nunca se aplica al migrar.,Sigue al detalle.,Conservado por ancla.,Las superficies suspendidas por CB-6 se restauran en el orden en que fueron suspendidas.,Cámara intacta.,Cierra el inset.,
TR-04,Medium (M1),Expanded (X2),CB-1 se cumple con dos docks.,Intacta.,Inset → dock con reflow. Rail de iconos → rail con etiquetas.,Sobrevive.,Permanece.,Conservado.,Sin cambio.,Recompone su caja; la cámara se conserva y NO se reencuadra sola (reencuadrar movería el modelo bajo el usuario).,Sin efecto.,
TR-05,Retrato,Apaisado (y viceversa),orientationchange / resize.,Intacta.,"En Compact, la hoja cambia de borde: inferior en retrato, lateral en apaisado (CB-6). El contenido y el borrador no cambian.",Sobrevive al cambio de borde.,Sigue al mismo campo dentro de la hoja reubicada.,Conservado por ancla (T-INV-6).,Sin cambio.,Cámara intacta; safe-rect se recalcula.,Sin cambio de semántica.,
TR-06,Cualquiera,Split-screen o redimensionado continuo,Arrastre continuo del divisor o de la ventana.,Intacta.,"Sin recomposición durante el arrastre: el resolutor sólo commitea sobre tamaño estable, con histéresis en la frontera (T-INV-5).",Sobrevive; no se interrumpe la edición durante el arrastre.,Sin movimiento durante el arrastre.,Sin salto.,Sin cambio.,Se redimensiona de forma continua; el reencuadre automático no se dispara.,Sin cambio.,
TR-07,Teclado virtual cerrado,Teclado virtual abierto,`visualViewport.resize` / `scroll`.,Intacta.,NO hay cambio de clase (T-INV-4). La hoja se ajusta al viewport visual y su detent se normaliza si el campo con foco quedaría tapado.,Es justo el caso en que hay borrador: sobrevive por construcción.,"Se conserva sobre el campo en edición, que debe quedar por encima del teclado.",La superficie desplaza lo mínimo para que el campo con foco sea visible.,Los toasts respetan el nuevo borde inferior y la safe-area.,Su caja no cambia; sólo el rectángulo seguro.,Cierra el teclado antes que la superficie.,
TR-08,Puntero fino,Táctil (dispositivo híbrido) y viceversa,Primer evento de `pointerType` distinto.,Intacta.,"Sin cambio de composición (T-INV-7). Cambian tamaños de objetivo, se arma o desarma la lupa y el picker pasa a su variante de dedo.",Sin efecto.,Sin movimiento.,Sin efecto.,Las pistas de gesto del badge de modo cambian de vocabulario.,Sin efecto sobre la cámara; sí sobre las áreas de acierto.,Sin cambio.,
TR-09,Superficie abriéndose,Transición de clase simultánea,El usuario invoca una superficie mientras el viewport cruza una frontera.,Intacta.,La apertura gana: se resuelve la presentación en la clase DESTINO y la superficie se abre ya en su forma final. Nunca se abre y se cierra.,No aplica todavía.,"Va al destino final, una sola vez.",Inicial.,Sin cambio.,Sin cambio.,Cancela la apertura y devuelve el foco al invocador.,
TR-10,Mesa 2D,Space 3D y vuelta,Navegación de pantalla.,La selección 2D sobrevive en memoria: `ProjectProvider` está por encima del cambio de pantalla.,"`WorkspaceShell` se desmonta por completo. Toda su presentación (superficie abierta, detents, foco) se pierde.","RIESGO DECLARADO: los borradores que viven en estado local de `WorkspaceShell` no sobreviven. Contrato: antes de navegar a Space 3D, `DraftLifecycle` debe pedir confirmación si hay borradores sucios.","Al volver, foco al lienzo 2D.",No conservado.,Las capas del lienzo sobreviven: ya se persisten en localStorage.,La cámara 2D no se conserva.,No aplica.,App.tsx:53-80; ProjectContext.tsx (provider raíz); editorLayers.ts:14
