"ID","Dominio","Tarea de usuario","Objetivo del usuario","Implementación actual verificada","Archivos / componentes","Tests / QA / evidencia","Frecuencia esperada","Fuente de la frecuencia","Criticidad","Objeto / contexto del que depende","Precondiciones","Dónde vive hoy","Rutas alternativas actuales","Findings CRI-7 relacionados","Qué funciona bien y debe conservarse","Clasificación UX","Expanded: ruta funcional propuesta","Medium: ruta funcional propuesta","Compact: ruta funcional propuesta","Mouse / keyboard path","Touch path","Necesidad de precisión especial","¿Puede ser contextual a selección?","Visibilidad persistente o disclosure","Superficie apropiada","Disabled / loading / error","Feedback esperado","Focus / Escape / Cancel / Reset","Impacto en canvas-budget","Decisión para CRI-9","Patrón para CRI-10","Unknowns / preguntas abiertas"
"ENT-01","Entrada","Elegir por dónde empezar al abrir la app","Decidir entre continuar, crear, abrir ejemplo, importar o entrar a Aula sin haber cargado aún el editor.","Pantalla Welcome propia (`screen === ""welcome""`), con hero, tarjetas de plantilla, filtro academic/models, cabecera con tema e idioma, y drawer de menú en anchos estrechos. Precarga `WorkspaceShell` en idle.","src/App.tsx:20-60; src/features/welcome/WelcomeScreen.tsx:1-381","src/features/welcome/WelcomeScreen.test.tsx; src/features/welcome/StructuralPortalHero.test.tsx; CRI-7 flujo 01 (ok en 11 viewports)","alta","inferencia","esencial","Ninguno: es el estado inicial de la app.","Ninguna.","Pantalla completa propia, fuera del shell del workspace.","Ninguna: es la única puerta de entrada. Desde la mesa se vuelve con el botón de marca.","F-13 (welcome rompe en 767, umbral propio).","No amputa: todas las rutas de arranque existen en los 11 viewports.","1 Global persistente (pantalla propia)","Pantalla completa, misma composición. Sin cambios funcionales.","Igual que Expanded; sólo densidad de tarjetas.","Igual, con cabecera colapsada a drawer de menú.","Tab entre tarjetas; Enter activa.","Tap directo sobre tarjeta.","No.","No.","persistente","fullscreen","empty (sin proyectos recientes) — no verificado si se distingue del estado normal.","Navegación inmediata a la mesa.","No aplica (no es superficie modal).","No compite: no hay canvas.","¿Welcome debe seguir siendo una pantalla o pasar a ser un estado del shell? Hoy es una pantalla con su propio breakpoint (767).","Sistema de tarjeta de plantilla y jerarquía del hero bajo Brandbook.","No hay evidencia de frecuencia real de uso de cada ruta de arranque."
"ENT-02","Entrada","Continuar el proyecto en el que estaba","Recuperar el trabajo anterior sin volver a construirlo.","`ProjectContext` inicializa con `loadProjectFromStorage(localStorage)` en el `useState` inicializador; el proyecto vivo ya está cargado antes de entrar a la mesa. El botón de la Welcome sólo navega.","src/store/ProjectContext.tsx:38-39; src/features/welcome/WelcomeScreen.tsx (onOpenWorkspace)","src/store/ProjectContext.test.tsx; src/App.test.tsx","alta","inferencia","esencial","Proyecto persistido en localStorage.","Haber trabajado antes en este navegador.","Botón principal de la Welcome.","Project Hub (ENT-06) abre proyectos del repositorio IndexedDB, que es otra fuente.","—","Local-first real: el proyecto está en memoria antes de que la mesa se monte.","1 Global persistente","Acción primaria de la Welcome.","Igual.","Igual.","Enter sobre el botón principal.","Tap.","No.","No.","persistente","fullscreen","Sin estado de carga explícito: la lectura de localStorage es síncrona.","Transición a la mesa con el modelo ya dibujado.","—","—","Coexisten dos almacenes (localStorage para el proyecto vivo, IndexedDB para el hub). CRI-9 debe decidir cuál es la fuente de ""continuar"".","—","No se verificó qué ocurre si localStorage tiene un proyecto y el hub otro más reciente."
"ENT-03","Entrada","Crear un proyecto en blanco","Empezar de cero sin heredar geometría.","`createBlankProject()` + `replaceProject`, preservando el idioma actual. Existe en la Welcome y en el menú de proyecto del TopBar.","src/features/topbar/TopBar.tsx:347-349; src/data/defaultProject.ts","src/features/topbar/TopBar.test.tsx","media","inferencia","esencial","Ninguno.","Ninguna.","Welcome + menú desplegable del nombre de proyecto (TopBar).","Dos puertas: arranque y durante el trabajo.","F-02 (`project-menu-toggle` mide 33×40, bajo el mínimo de puntero de 36).","Que exista dentro de la mesa evita volver a Inicio para empezar otro modelo.","1 Global persistente + 2 Contextual a proyecto","Menú de proyecto en TopBar.","Igual.","El menú de proyecto sobrevive en Compact (zona documento no se oculta entera).","Click en la flecha; el menú tiene navegación por flechas/Home/End (`onMenuKeyDown`).","Tap en la flecha de 33×40 — por debajo del mínimo táctil de 44 declarado por el proyecto.","No.","No.","disclosure","modal","Sin confirmación: reemplaza el proyecto actual. Reversible por undo (`replaceProject` empuja historial).","El lienzo se vacía. No hay toast.","Escape cierra y devuelve el foco al disparador (TopBar.tsx:129-134).","Nulo (popover).","¿Crear proyecto debe pedir confirmación cuando hay trabajo sin exportar? Hoy sólo lo protege el undo.","Patrón único de popover de menú con secciones.","Frecuencia real."
"ENT-04","Entrada","Abrir un ejemplo / plantilla","Partir de un modelo válido para aprender o para adaptar.","`exampleProjects` (6 entradas nombradas en `EXAMPLE_META`), `example.build()` + `replaceProject`. Presentación traducida por `presentExample`.","src/features/welcome/WelcomeScreen.tsx:50-58; src/features/topbar/TopBar.tsx:350-355; src/features/welcome/examplePresentation.ts","src/features/welcome/WelcomeScreen.test.tsx; CRI-7 usa «Pórtico de ejemplo» como modelo de todos sus flujos","media","evidencia","esencial","Ninguno.","Ninguna.","Tarjetas de la Welcome + menú de proyecto del TopBar.","Duplicación legítima: descubrir (Welcome) vs cambiar de ejemplo sin salir (TopBar).","—","Los ejemplos son la vía de arranque más rápida y están en las dos superficies donde tienen sentido.","1 Global persistente + 9 Fullscreen (Welcome)","Rejilla de tarjetas con categoría e icono.","Rejilla más estrecha.","Columna única.","Tab + Enter.","Tap.","No.","No.","persistente","fullscreen / modal","Sin loading: la construcción es síncrona.","Modelo dibujado inmediatamente.","—","—","""Abrir un ejemplo y convertirlo en proyecto propio"" no tiene hoy paso de apropiación: se abre como proyecto sin renombrar.","Tarjeta de plantilla con categoría, badge e icono.","Si el usuario entiende que el ejemplo YA es su proyecto editable."
"ENT-05","Entrada","Filtrar plantillas por tipo","Separar ejercicios académicos de modelos de trabajo.","Estado local `templateFilter: ""all"" | ""academic"" | ""models""`, con `ACADEMIC_EXAMPLE_NAMES` como conjunto explícito.","src/features/welcome/WelcomeScreen.tsx:59-62, 76-86","src/features/welcome/WelcomeScreen.test.tsx","baja","inferencia","secundaria","Lista de ejemplos.","Estar en la Welcome.","Chips en la Welcome.","Ninguna.","—","—","9 Fullscreen (auxiliar de la lista)","Chips visibles.","Igual.","Igual, con scroll horizontal.","Tab + Enter.","Tap.","No.","No.","persistente","fullscreen","—","La rejilla se recorta en el sitio.","—","—","Con 6 ejemplos, el filtro puede no justificarse; es decisión de CRI-9, no de este mapa.","Chip de filtro (mismo patrón que las facetas del Datasheet — hoy son dos implementaciones distintas).","Frecuencia real de uso."
"ENT-06","Entrada","Ver y abrir proyectos guardados (Project Hub)","Volver a un proyecto concreto de entre varios.","`ProjectHub` sobre `IndexedDbProjectRepository`: lista proyectos y recuperaciones, con estados loading/error/unavailable. Se carga perezoso desde la Welcome (`Phase2ProjectHub`).","src/features/project-hub/ProjectHub.tsx:1-80; src/storage/projectRepository.ts:149-268; src/features/welcome/Phase2ProjectHub.tsx","src/features/project-hub/ProjectHub.test.tsx; src/storage/projectRepository.test.ts","media","inferencia","esencial","Repositorio IndexedDB.","IndexedDB disponible (si no, mensaje `hub.unavailable`).","Sólo en la Welcome, tras `Phase2ProjectHub`.","Ninguna desde la mesa: no hay «abrir otro proyecto» dentro del workspace salvo importar.","F-13 (hub rompe en 680, umbral propio).","Degradación honesta: si no hay IndexedDB lo dice en vez de fallar en silencio.","1 Global persistente + 9 Fullscreen / datos densos","Lista completa con acciones por fila.","Igual.","Fila apilada.","Tab por filas y acciones.","Tap.","No.","No.","disclosure","fullscreen / table","loading, error, unavailable — los tres implementados.","Refresco de la lista tras cada operación.","No verificado el retorno de foco tras renombrar.","—","HUECO DE ACCESO: desde la mesa no hay ruta al Hub. Cambiar de proyecto obliga a volver a Inicio.","Fila de proyecto con acciones secundarias.","Si el Hub y el proyecto vivo de localStorage pueden desincronizarse."
"ENT-07","Entrada","Renombrar un proyecto guardado","Distinguir proyectos entre sí en la lista.","`commitRename` → `repository.renameProject`, con edición en línea (`editing: {id, name}`).","src/features/project-hub/ProjectHub.tsx:62-70","src/features/project-hub/ProjectHub.test.tsx","baja","inferencia","secundaria","Registro del hub.","Hub disponible.","Sólo en el Hub.","El nombre del proyecto ABIERTO se edita desde el TopBar (ENT-13) — otra entidad, no duplicación.","—","Edición en línea, sin modal.","8 Configuración / 9 Fullscreen","Inline.","Inline.","Inline.","Enter confirma (no verificado si Escape cancela).","Teclado en pantalla.","No.","No.","disclosure","table","error capturado y mostrado.","Lista refrescada.","No verificado.","—","—","Campo editable en línea dentro de tabla.","Comportamiento de Escape durante la edición."
"ENT-08","Entrada","Duplicar un proyecto guardado","Explorar una variante sin perder el original.","`repository.duplicateProject(id, t(""hub.copyName"", {name}))`.","src/features/project-hub/ProjectHub.tsx:52-60; src/storage/projectRepository.ts","src/storage/projectRepository.test.ts","baja","inferencia","secundaria","Registro del hub.","Hub disponible.","Sólo en el Hub.","Ninguna.","—","Nombre de copia derivado y traducido.","8 Configuración / 9 Fullscreen","Acción de fila.","Igual.","Igual.","Tab + Enter.","Tap.","No.","No.","disclosure","table","error capturado.","Nueva fila en la lista.","No verificado.","—","Duplicar es la única forma de versionar; ¿debe existir también desde la mesa?","—","Frecuencia real."
"ENT-09","Entrada","Restaurar una recuperación tras conflicto","No perder trabajo cuando dos pestañas o dos revisiones chocan.","`listRecoveries()` + `restoreRecovery(id)`. Las recuperaciones se crean automáticamente con `reason: ""conflict"" | ""manual"" | ""migration"" | ""dxf-import""` y guardan el proyecto completo + checksum.","src/storage/projectRepository.ts:23-31, 195-248; src/features/project-hub/ProjectHub.tsx:72-80","src/storage/projectRepository.test.ts","baja","evidencia","esencial","Existencia de un `RecoveryRecord`.","Haber ocurrido un conflicto o una migración.","Sólo en el Project Hub, dentro de la Welcome.","El TopBar muestra el ESTADO de conflicto (SHL-20) pero no ofrece la restauración.","—","Fail-closed correcto: el conflicto crea una recuperación ANTES de lanzar `RepositoryConflictError`.","2 Contextual a proyecto + 6 Workflow temporal","Sección propia dentro del Hub.","Igual.","Igual.","Tab + Enter.","Tap.","No.","No.","disclosure","fullscreen / table","error capturado; loading compartido con la lista.","Abre el proyecto restaurado (`onOpen(record)`).","No verificado.","—","HUECO DE ACCESO CRÍTICO: el conflicto se anuncia en la mesa y se resuelve en otra pantalla. CRI-9 debe cerrar ese salto.","Patrón de recuperación: cómo se presenta una versión alternativa sin sugerir que se pierde la actual.","Si el usuario relaciona el aviso del TopBar con la lista del Hub."
"ENT-10","Entrada","Importar JSON / bundle / PDF (Import Center)","Traer un modelo desde un archivo y decidir qué se conserva.","Asistente de 6 etapas (`select → inspect → content → conflicts → confirm → result`) con detección de tipo, selección de contenido y resolución de destino. Carga perezosa.","src/features/import-export/ImportCenterDialog.tsx:44-528; src/features/import-export/PortableImportCenter.tsx; src/features/import-export/portableImportAdapter.ts","src/features/import-export/ImportCenterDialog.test.tsx; src/features/import-export/portableImportAdapter.test.ts","baja","inferencia","esencial","Archivo del usuario.","Ninguna.","Menú de proyecto del TopBar y Welcome.","Dos puertas legítimas (arranque y durante el trabajo).","—","Es el único workflow por etapas del producto y está bien construido: inspecciona antes de escribir y explica qué no soporta.","6 Workflow temporal","Diálogo modal con etapas.","Igual.","Igual, apilado.","Tab; foco dirigido por etapa (`data-import-stage-focus`).","Selector de archivo nativo.","No.","No.","disclosure","modal / workflow","unsupported, conflicts, result — todos implementados.","Etapa `result` explícita.","Foco por etapa; retorno al `projectMenuButtonRef` al cerrar (TopBar.tsx:186-189).","Nulo (modal).","Es el modelo de ""workflow temporal"" que el resto del producto no tiene. ¿Se generaliza el patrón?","Indicador de etapas y su versión Compact.","Qué porcentaje de bundles reales son importables (el código distingue `available` de `withAdapter`)."
